,age,prev_year_min_avg,career_min_avg,prev_year_competition_Currie Cup,prev_year_competition_England Championship,prev_year_competition_England Premiership,prev_year_competition_NPC,prev_year_competition_National Rugby Championship,prev_year_competition_Pro D2,prev_year_competition_Super Rugby,prev_year_competition_Top 14,prev_year_competition_United Rugby Championship,competition_Currie Cup,competition_England Championship,competition_England Premiership,competition_NPC,competition_National Rugby Championship,competition_Pro D2,competition_Super Rugby,competition_Top 14,competition_United Rugby Championship,pred
34232,0.40384615384615385,0.38035714285714284,0.38035714285714284,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34236,0.4423076923076923,0.27,0.5606617647058824,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
34248,0.36538461538461536,0.3109375,0.3109375,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34253,0.4230769230769231,0.8583333333333334,0.8371794871794872,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34267,0.36538461538461536,0.1625,0.1625,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34294,0.4230769230769231,0.225,0.24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34315,0.5384615384615384,0.9,0.77265625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34332,0.38461538461538464,0.8597222222222222,0.8597222222222222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34340,0.36538461538461536,0.4875,0.4875,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34343,0.40384615384615385,0.425,0.425,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34346,0.4423076923076923,0.6642857142857144,0.6221590909090909,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34364,0.46153846153846156,0.94375,0.7830357142857143,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34374,0.38461538461538464,0.8222222222222222,0.775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34378,0.4807692307692308,0.3892857142857143,0.43560606060606066,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34382,0.4423076923076923,0.4046875,0.38125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34391,0.4807692307692308,0.8921875,0.8636792452830189,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34399,0.40384615384615385,0.9775,0.7816964285714285,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34411,0.4807692307692308,0.8625,0.9099999999999999,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
34418,0.4423076923076923,0.29166666666666663,0.32386363636363635,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34425,0.4807692307692308,0.725,0.5669491525423729,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34428,0.4423076923076923,0.3,0.5272727272727272,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34434,0.38461538461538464,0.4270833333333333,0.4270833333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34436,0.4423076923076923,0.8333333333333334,0.8333333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34442,0.5961538461538461,0.6733333333333333,0.5217171717171717,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34446,0.5576923076923077,0.5671875,0.4917207792207792,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
34459,0.4423076923076923,1.0,0.99875,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34464,0.38461538461538464,0.6416666666666667,0.42625,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34468,0.5192307692307693,1.0,0.99375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34488,0.5769230769230769,0.7333333333333333,0.7011904761904761,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
34491,0.5576923076923077,0.72,0.6770833333333333,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
34495,0.4230769230769231,0.8819444444444444,0.7354166666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34507,0.36538461538461536,0.73125,0.73125,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
